subjek,rasio,nul_median,z,p
H_P000-0019,0.014677050461615737,1.2597889463177716,-2.06673751937777,0.045
H_P000-0020,0.08569343387312803,0.9419341343153615,-1.217442138952297,0.136
H_P000-0021,0.01890589849512786,1.1398022282239741,-2.828553765040793,0.01
H_P000-0022,0.14109021030565339,1.1285327193379273,-2.1362851052571927,0.064
H_P000-0023,0.09217233025073798,1.134088086028318,-2.6527834510084585,0.073
H_P000-0024,0.3900083178119183,0.9712843199797866,-1.0477603172105765,0.301
H_P000-0025,0.9362632971938768,0.9822684294287769,-0.19695572872401834,0.809
H_P000-0029,0.10720445598673424,1.0502509290950106,-3.3463042014679756,0.018
H_P000-0030,0.8754658282398775,1.1242539994562284,-0.5140425642943884,0.793
H_P000-0031,0.5141444452825243,1.1254703898098561,-1.3171798915079214,0.16
H_P000-0032,0.3444706303612749,1.0720122454163439,-2.114937813359457,0.057
H_P000-0033,0.12272332651996828,1.008841922228699,-1.4334740236114756,0.16
H_P000-0034,0.062408574263321866,1.0113602771044947,-1.752883018049518,0.016
H_P000-0035,0.1362090033683367,1.1352375155892436,-2.7738362460639054,0.019
H_P000-0036,0.16418888093144238,1.0789926201873437,-2.5549654614476442,0.021
H_P000-0037,0.5594200354093827,1.0534453554351364,-1.7731388828571943,0.11
H_P000-0039,0.14546754990300634,1.0656097305836627,-2.2413468206921103,0.086
H_P000-0040,0.26768753895871034,1.0794294960716766,-1.589572663906416,0.057
H_p000-0017,0.45062707500677474,0.9987104636511116,-1.7621795074333437,0.036
H_p000-0018,0.21358440294858091,1.0714061266330852,-2.1086240105286134,0.012
H_p000-0028,0.06763730147834329,1.0605991613852168,-1.7209670582032477,0.04
H_p000-0041,0.6453651922335834,0.9868505677282665,-1.16239800160575,0.317
H_p000-0042,0.041680875091496795,1.0988170635268917,-1.3532706989892584,0.126
H_p000-0043,0.30391322860986525,1.0792571677017437,-2.9802609476011903,0.011
P_02100001,9.432605546745078,0.6304601098143607,7.416696995249216,0.004
P_05060003,5.200420690676024,0.7731352522877731,5.076106239796358,0.015
P_05060004,3.8472531801059713,0.854731249006392,4.226076587049726,0.008
P_09100001,1.0,1.0,0.0,1.0
P_09100003,1.0,1.0,0.0,1.0
P_09100005,1.0,1.0,0.0,1.0
P_11120003,1.0,1.0,0.0,1.0
P_11120004,1.0,1.0,0.0,1.0
P_11120005,1.0222777006131647,1.011123081565682,0.2623846343600146,0.34950000000000003
P_12060001,23.685034882683887,0.39372122625653566,6.785211436346314,0.011
P_12060002,9.326388556858044,0.8630164097567709,7.080340166825865,0.012
P_16100003,1.0,1.0,0.0,1.0
P_16100004,1.0,1.0,0.0,1.0
P_23100002,4.102775416020126,0.7952000203535694,4.538249492201865,0.012
P_23100003,1.0,1.0,0.0,1.0
P_26060002,5.766646944331681,0.844834087029209,4.667776871450037,0.005
P_26060003,3.267235380358438,0.7226156570944785,2.4390859109645096,0.051
P_26060006,10.777194607872008,0.7904204444991602,6.258541286207582,0.01
P_26060007,8.027398075402836,0.11245414948422669,3.700176215743691,0.017
P_27110001,1.0,1.0,0.0,1.0
P_27110003,2.3871156782847565,1.001854894935504,2.151526513321215,0.3416666666666666
P_30100001,1.0,1.0,0.0,1.0
P_30100002,1.0,1.0,0.0,1.0
