arsitektur,seed,auc_uci,auc,hilang
mamba2,0,0.9397849462365592,0.9419354838709678,-0.0021505376344086446
gru,0,0.9548387096774194,0.8737327188940092,0.08110599078341019
mamba3,0,0.9279569892473118,0.9096774193548388,0.018279569892473035
mamba2,1,0.9419354838709676,0.9327188940092166,0.009216589861751001
mamba2,2,0.9182795698924732,0.9235023041474654,-0.005222734254992201
gru,1,0.9526881720430108,0.9032258064516128,0.04946236559139805
gru,2,0.9655913978494624,0.8433179723502304,0.12227342549923192
mamba3,1,0.8623655913978495,0.9456221198156682,-0.08325652841781872
mamba3,2,0.9204301075268816,0.9391705069124424,-0.018740399385560824
mamba2,3,0.9161290322580644,0.9327188940092166,-0.01658986175115218
mamba2,4,0.9387096774193548,0.9566820276497696,-0.01797235023041477
gru,3,0.9763440860215056,0.910599078341014,0.06574500768049163
gru,4,0.9419354838709676,0.904147465437788,0.03778801843317958
mamba3,3,0.9344086021505376,0.9078341013824884,0.026574500768049125
mamba3,4,0.9301075268817204,0.8976958525345622,0.03241167434715819
