kohort,arsitektur,besaran,agregasi,tugas,rho_median,selisih_PD_HC,p_permutasi,ambang,n_PD,n_HC,n_rekaman
uci395,gru,alpha,satu_seed,STCP,0.07802532824304065,0.14266051008608763,,0.0694103145939695,45,7,57
uci395,gru,alpha,peringkat,STCP,0.09194404287846726,0.15520308266857713,0.40831833633273346,0.0694103145939695,45,7,57
uci395,gru,alpha,zskor,STCP,0.1263451058195568,0.19247671479457656,,0.0694103145939695,45,7,57
uci395,gru,alpha,rerata,STCP,0.12069597069597068,0.16374103600254786,,0.0694103145939695,45,7,57
uci395,gru,phi,satu_seed,STCP,-0.11178790825818585,-0.028656534384088564,,0.0694103145939695,45,7,57
uci395,gru,phi,peringkat,STCP,-0.17336711498613205,-0.1020617078023181,0.17376524695060988,0.0694103145939695,45,7,57
uci395,gru,phi,zskor,STCP,-0.1785714285714286,-0.048727532939134344,,0.0694103145939695,45,7,57
uci395,gru,phi,rerata,STCP,-0.15426497277676954,0.002621226679089317,,0.0694103145939695,45,7,57
uci395,mamba2,alpha,satu_seed,STCP,0.34203501813838555,0.21592917120459615,,0.0694103145939695,45,7,57
uci395,mamba2,alpha,peringkat,STCP,0.38095238095238104,0.3161024487753364,0.060787842431513694,0.0694103145939695,45,7,57
uci395,mamba2,alpha,zskor,STCP,0.2000857759371691,0.10371459036319716,,0.0694103145939695,45,7,57
uci395,mamba2,alpha,rerata,STCP,0.3008241758241758,0.15593361413704387,,0.0694103145939695,45,7,57
uci395,mamba2,phi,satu_seed,STCP,0.0028664458594017403,0.011177348980226428,,0.0694103145939695,45,7,57
uci395,mamba2,phi,peringkat,STCP,-0.01389389175758132,0.00272079747056911,0.8454309138172366,0.0694103145939695,45,7,57
uci395,mamba2,phi,zskor,STCP,-0.0054882514175716105,0.021143396192225248,,0.0694103145939695,45,7,57
uci395,mamba2,phi,rerata,STCP,0.0065512222328023605,-0.015896414896782212,,0.0694103145939695,45,7,57
uci395,mamba3,alpha,satu_seed,STCP,-0.030412222849529436,-0.34696989032192327,,0.0694103145939695,45,7,57
uci395,mamba3,alpha,peringkat,STCP,-0.1588120851460922,-0.7882222199759721,0.004799040191961607,0.0694103145939695,45,7,57
uci395,mamba3,alpha,zskor,STCP,-0.1437417654808959,-0.7852987004340245,,0.0694103145939695,45,7,57
uci395,mamba3,alpha,rerata,STCP,-0.15294117647058825,-0.7640035918673689,,0.0694103145939695,45,7,57
uci395,mamba3,phi,satu_seed,STCP,0.005154187810479639,0.0822269577687534,,0.0694103145939695,45,7,57
uci395,mamba3,phi,peringkat,STCP,-0.025473358671151854,0.16355740314912884,0.0687862427514497,0.0694103145939695,45,7,57
uci395,mamba3,phi,zskor,STCP,-0.01818322828094815,0.1511124553232313,,0.0694103145939695,45,7,57
uci395,mamba3,phi,rerata,STCP,0.02450980392156863,0.19518987316633704,,0.0694103145939695,45,7,57
uci395,gru,alpha,satu_seed,semua,-0.04004276146068009,0.1363811719759611,,,62,15,207
uci395,gru,alpha,peringkat,semua,-0.02728863421156424,0.14340005981844772,,,62,15,207
uci395,gru,alpha,zskor,semua,-0.025274464691518343,0.11332548216857974,,,62,15,207
uci395,gru,alpha,rerata,semua,-0.02193037193328994,0.12449103419513291,,,62,15,207
uci395,gru,phi,satu_seed,semua,-0.02381083763065761,-0.06882247292069127,,,62,15,207
uci395,gru,phi,peringkat,semua,-0.056489446189889596,-0.09306441421723752,,,62,15,207
uci395,gru,phi,zskor,semua,-0.05906627786492375,-0.1084985489535197,,,62,15,207
uci395,gru,phi,rerata,semua,-0.04589154629410371,-0.06137620459623286,,,62,15,207
uci395,mamba2,alpha,satu_seed,semua,0.0010809012428718598,0.05468635567358373,,,62,15,207
uci395,mamba2,alpha,peringkat,semua,-0.011217396498503404,0.08307905406633163,,,62,15,207
uci395,mamba2,alpha,zskor,semua,0.019570917393393412,0.04724332918740727,,,62,15,207
uci395,mamba2,alpha,rerata,semua,0.02688367353039779,0.06036678171996188,,,62,15,207
uci395,mamba2,phi,satu_seed,semua,-0.004101217421523083,-0.013797701056258735,,,62,15,207
uci395,mamba2,phi,peringkat,semua,-0.01389389175758132,-0.04295555366706948,,,62,15,207
uci395,mamba2,phi,zskor,semua,-0.008187870557450898,-0.032006954023720044,,,62,15,207
uci395,mamba2,phi,rerata,semua,-0.006444982494034037,-0.040735821600722165,,,62,15,207
uci395,mamba3,alpha,satu_seed,semua,-0.1386630983397001,-0.0401492486780982,,,62,15,207
uci395,mamba3,alpha,peringkat,semua,-0.227345933675313,-0.020762105461182873,,,62,15,207
uci395,mamba3,alpha,zskor,semua,-0.23118279569892472,-0.14463082297159538,,,62,15,207
uci395,mamba3,alpha,rerata,semua,-0.20192159532992654,-0.24522614616231667,,,62,15,207
uci395,mamba3,phi,satu_seed,semua,0.0038226996558789047,0.012538903214593496,,,62,15,207
uci395,mamba3,phi,peringkat,semua,0.0007689082478550351,-0.00394998671285143,,,62,15,207
uci395,mamba3,phi,zskor,semua,0.014132709441006365,-0.007506467884024336,,,62,15,207
uci395,mamba3,phi,rerata,semua,0.02335922637325721,0.0038274231288327933,,,62,15,207
newhandpd,gru,alpha,satu_seed,semua,0.033998572124312086,-0.08021045243605776,,,31,35,264
newhandpd,gru,alpha,peringkat,semua,0.05997578876613601,-0.17040627300351766,,,31,35,264
newhandpd,gru,alpha,zskor,semua,0.0676634028885522,-0.19179970746200062,,,31,35,264
newhandpd,gru,alpha,rerata,semua,0.06642273673803287,-0.189360250048989,,,31,35,264
newhandpd,gru,phi,satu_seed,semua,-0.013602556746103153,-0.03075088499388986,,,31,35,264
newhandpd,gru,phi,peringkat,semua,-0.02081844060425271,-0.057717266972408324,,,31,35,264
newhandpd,gru,phi,zskor,semua,-0.023448833843338367,-0.0781092946869604,,,31,35,264
newhandpd,gru,phi,rerata,semua,-0.028098243818608412,-0.06753694738605301,,,31,35,264
newhandpd,mamba2,alpha,satu_seed,semua,-0.008192021569260516,-0.009825286548927418,,,31,35,264
newhandpd,mamba2,alpha,peringkat,semua,-0.011441670141844513,-0.03999626054318714,,,31,35,264
newhandpd,mamba2,alpha,zskor,semua,0.05213534688042255,-0.03763798123489176,,,31,35,264
newhandpd,mamba2,alpha,rerata,semua,0.05259044519060807,-0.04380593759154423,,,31,35,264
newhandpd,mamba2,phi,satu_seed,semua,-0.01911178092373529,0.002783409739019107,,,31,35,264
newhandpd,mamba2,phi,peringkat,semua,-0.026765783551716417,-0.014920672611484193,,,31,35,264
newhandpd,mamba2,phi,zskor,semua,-0.01719023646195279,-0.03292034685478359,,,31,35,264
newhandpd,mamba2,phi,rerata,semua,-0.021543071664580804,-0.03878088671801082,,,31,35,264
newhandpd,mamba3,alpha,satu_seed,semua,-0.0046940300885057505,-0.008243929630755134,,,31,35,264
newhandpd,mamba3,alpha,peringkat,semua,-0.007823130412356778,-0.05252680681770787,,,31,35,264
newhandpd,mamba3,alpha,zskor,semua,-0.0516438871254675,0.041685581850362925,,,31,35,264
newhandpd,mamba3,alpha,rerata,semua,-0.046595895748901384,0.03754062301723521,,,31,35,264
newhandpd,mamba3,phi,satu_seed,semua,-0.030326200109749152,0.032190230521059696,,,31,35,264
newhandpd,mamba3,phi,peringkat,semua,-0.07102159993893825,0.06461830565168154,,,31,35,264
newhandpd,mamba3,phi,zskor,semua,-0.07548459314878123,0.061763500409429885,,,31,35,264
newhandpd,mamba3,phi,rerata,semua,-0.063839650173659,0.052401379139978624,,,31,35,264
