kohort,arsitektur,agregasi,rho_satu_seed,rho_ensemble,delta,n_seed,n_rekaman
uci395,gru,peringkat,0.07150946630404528,0.08113251734666967,0.009623051042624384,5,207
uci395,gru,zskor,0.07150946630404528,0.12189453268694635,0.050385066382901064,5,207
uci395,gru,rerata,0.07150946630404528,0.13542512538810605,0.06391565908406077,5,207
uci395,gru,peringkat_alpha_saja,0.07150946630404528,0.042748422697908295,-0.028761043606136988,5,207
uci395,mamba2,peringkat,0.057232041606205875,0.09601693885637862,0.03878489725017274,5,207
uci395,mamba2,zskor,0.057232041606205875,0.1148395480962771,0.05760750649007122,5,207
uci395,mamba2,rerata,0.057232041606205875,0.11618284173133167,0.058950800125125796,5,207
uci395,mamba2,peringkat_alpha_saja,0.057232041606205875,0.055572400151022106,-0.001659641455183769,5,207
uci395,mamba3,peringkat,0.04287906792857109,0.08954938298199462,0.04667031505342353,5,207
uci395,mamba3,zskor,0.04287906792857109,0.08230176897258076,0.039422701044009675,5,207
uci395,mamba3,rerata,0.04287906792857109,0.060695078871630094,0.017816010943059006,5,207
uci395,mamba3,peringkat_alpha_saja,0.04287906792857109,0.037652730059501545,-0.005226337869069543,5,207
newhandpd,gru,peringkat,0.08768189862637518,0.11925726925275305,0.03157537062637787,10,264
newhandpd,gru,zskor,0.08768189862637518,0.1708066624602803,0.08312476383390513,10,264
newhandpd,gru,rerata,0.08768189862637518,0.16495049023614156,0.07726859160976637,10,264
newhandpd,gru,peringkat_alpha_saja,0.08768189862637518,0.04354034208323451,-0.04414155654314067,10,264
newhandpd,mamba2,peringkat,0.024852545103585918,0.07559337981937435,0.05074083471578843,10,264
newhandpd,mamba2,zskor,0.024852545103585918,0.10451101081627026,0.07965846571268434,10,264
newhandpd,mamba2,rerata,0.024852545103585918,0.104031009953794,0.07917846485020807,10,264
newhandpd,mamba2,peringkat_alpha_saja,0.024852545103585918,0.027578245200535274,0.002725700096949356,10,264
newhandpd,mamba3,peringkat,0.021412361950508108,0.08094476205787746,0.05953240010736935,10,264
newhandpd,mamba3,zskor,0.021412361950508108,0.09751020493247671,0.0760978429819686,10,264
newhandpd,mamba3,rerata,0.021412361950508108,0.11905292673788355,0.09764056478737544,10,264
newhandpd,mamba3,peringkat_alpha_saja,0.021412361950508108,0.026306790022014304,0.004894428071506196,10,264
