kohort,arsitektur,k,rho_thd_ensemble_penuh,sb,n_subset
uci395,gru,1,0.8704309482934457,0.0528069507290715,5
uci395,gru,2,0.9336657756418306,0.022821799737154664,10
uci395,gru,3,0.9679940781083234,0.007604569410804469,10
uci395,gru,4,0.9878635733099408,0.0033571215171326867,5
uci395,gru,5,1.0,0.0,1
uci395,mamba2,1,0.8229300078744618,0.02549622149062737,5
uci395,mamba2,2,0.9186103131801515,0.008261696185485959,10
uci395,mamba2,3,0.9591197688570382,0.004293460125890391,10
uci395,mamba2,4,0.9829121039514058,0.0016947850404916108,5
uci395,mamba2,5,1.0,0.0,1
uci395,mamba3,1,0.6855184373463163,0.011362594073931673,5
uci395,mamba3,2,0.8184956090581276,0.01422459862704816,10
uci395,mamba3,3,0.9034098319267894,0.01237895412015858,10
uci395,mamba3,4,0.9563789651739876,0.00076467506683342,5
uci395,mamba3,5,1.0,0.0,1
newhandpd,gru,1,0.4849315483490947,0.10347224227630886,10
newhandpd,gru,2,0.642554712209469,0.08423417705249109,45
newhandpd,gru,3,0.7375102218716347,0.07070342311041238,120
newhandpd,gru,4,0.8025849826759003,0.05801656243038083,200
newhandpd,gru,5,0.8547806968340721,0.04550493430454001,200
newhandpd,gru,6,0.8937341681478753,0.032502308129031175,200
newhandpd,gru,7,0.9266344282625717,0.02247818905810705,120
newhandpd,gru,8,0.9539945629816285,0.012612590141094268,45
newhandpd,gru,9,0.9773812821588976,0.001188902842671671,10
newhandpd,gru,10,1.0,0.0,1
newhandpd,mamba2,1,0.4236480864756397,0.0988630672335354,10
newhandpd,mamba2,2,0.55646477917327,0.07911167314317596,45
newhandpd,mamba2,3,0.656608176174246,0.06421569471662687,120
newhandpd,mamba2,4,0.7326313415965836,0.051786068727821724,200
newhandpd,mamba2,5,0.7966652841421785,0.04039870401067024,200
newhandpd,mamba2,6,0.8485542872171291,0.02723070092982563,200
newhandpd,mamba2,7,0.894036168566563,0.018194720263351383,120
newhandpd,mamba2,8,0.932739571128627,0.010093294775023938,45
newhandpd,mamba2,9,0.9666887280771524,0.0005639608612315975,10
newhandpd,mamba2,10,1.0,0.0,1
newhandpd,mamba3,1,0.3753726740420914,0.06352700784058651,10
newhandpd,mamba3,2,0.49951643051990163,0.05012555772263431,45
newhandpd,mamba3,3,0.6010850054891105,0.03936380848395983,120
newhandpd,mamba3,4,0.6805951091896643,0.0323396886139623,200
newhandpd,mamba3,5,0.7480259754812192,0.023682822388014467,200
newhandpd,mamba3,6,0.8084157653325292,0.018104676905133163,200
newhandpd,mamba3,7,0.8612653367579206,0.011809646283893836,120
newhandpd,mamba3,8,0.9095573217753122,0.00726979467582427,45
newhandpd,mamba3,9,0.9536067262238171,0.0007126021782634787,10
newhandpd,mamba3,10,1.0,0.0,1
