patch,arsitektur,batch,detik_per_epoch,puncak_mib,n_patch_median
56,gru,8,0.3124707221984863,,27
56,mamba2,8,0.5092795610427856,,27
56,mamba3,8,0.6053437948226928,91.39306640625,27
14,gru,8,0.6786758661270141,,111
14,mamba2,8,0.5540865898132324,,111
14,mamba3,8,0.4279794454574585,298.60888671875,111
7,gru,8,1.2154705047607421,,222
7,mamba2,8,0.6659934282302856,,222
7,mamba3,8,0.5806141138076782,575.92333984375,222
4,gru,8,1.9930765151977539,,390
4,mamba2,8,0.9280286312103272,,390
4,mamba3,8,0.9646050930023193,968.43017578125,390
2,gru,8,3.202248477935791,342.8681640625,780
2,mamba2,8,1.4619356393814087,1077.802734375,780
2,mamba3,8,1.2014185905456543,1931.82763671875,780
1,gru,8,6.2747849225997925,661.67529296875,1560
1,mamba2,8,2.8252560615539553,2121.27197265625,1560
1,mamba3,8,2.291855573654175,3800.51904296875,1560
