arsitektur,epochs,seed,auc_uci,auc_newhandpd,hilang
mamba2,35,0,0.9505376344086023,0.9465437788018434,0.0039938556067589115
mamba2,35,1,0.946236559139785,0.9382488479262673,0.007987711213517712
mamba2,35,2,0.9193548387096774,0.9281105990783409,-0.008755760368663545
mamba2,35,3,0.956989247311828,0.9262672811059909,0.030721966205837115
mamba2,35,4,0.9548387096774194,0.9658986175115207,-0.011059907834101379
gru,35,0,0.970967741935484,0.8829493087557603,0.08801843317972369
gru,35,1,0.9623655913978495,0.8995391705069125,0.06282642089093704
gru,35,2,0.9698924731182796,0.8470046082949308,0.12288786482334879
gru,35,3,0.9795698924731184,0.9290322580645162,0.05053763440860226
gru,35,4,0.9473118279569892,0.9170506912442395,0.03026113671274966
