arsitektur,seed,m_asal,m_lintas,delta,rasio,degradasi
mamba2,0,0.9397849462365592,0.9419354838709678,-0.0021505376344086446,1.002288329519451,-0.002288329519450846
mamba2,1,0.9419354838709676,0.9327188940092166,0.009216589861751001,0.9902152641878671,0.009784735812132914
mamba2,2,0.9182795698924732,0.9235023041474654,-0.005222734254992201,1.0056875209100031,-0.005687520910003216
gru,0,0.9548387096774194,0.8737327188940092,0.08110599078341019,0.915057915057915,0.084942084942085
gru,1,0.9526881720430108,0.9032258064516128,0.04946236559139805,0.9480812641083519,0.05191873589164806
gru,2,0.9655913978494624,0.8433179723502304,0.12227342549923192,0.87336939230035,0.12663060769964998
mamba3,0,0.9279569892473118,0.9096774193548388,0.018279569892473035,0.9803012746234068,0.01969872537659319
mamba3,1,0.8623655913978495,0.9456221198156682,-0.08325652841781872,1.0965443534022088,-0.09654435340220874
mamba3,2,0.9204301075268816,0.9391705069124424,-0.018740399385560824,1.0203604806408546,-0.020360480640854637
mamba2,3,0.9161290322580644,0.9327188940092166,-0.01658986175115218,1.0181086519114688,-0.01810865191146893
mamba2,4,0.9387096774193548,0.9566820276497696,-0.01797235023041477,1.0191458026509572,-0.019145802650957312
gru,3,0.9763440860215056,0.910599078341014,0.06574500768049163,0.9326620516047828,0.06733794839521719
gru,4,0.9419354838709676,0.904147465437788,0.03778801843317958,0.9598825831702545,0.040117416829745456
mamba3,3,0.9344086021505376,0.9078341013824884,0.026574500768049125,0.9715600854841362,0.028439914515863852
mamba3,4,0.9301075268817204,0.8976958525345622,0.03241167434715819,0.9651527663088357,0.034847233691164305
mamba2,5,0.9129032258064516,0.9013824884792626,0.011520737327188946,0.9873801110550227,0.012619888944977292
mamba2,6,0.964516129032258,0.928110599078341,0.03640552995391699,0.9622551361681797,0.0377448638318203
mamba2,7,0.924731182795699,0.919815668202765,0.004915514592934045,0.9946843853820597,0.005315614617940304
mamba2,8,0.9548387096774194,0.9308755760368664,0.023963133640552914,0.974903474903475,0.02509652509652501
mamba2,9,0.9258064516129032,0.9391705069124424,-0.013364055299539213,1.014435042309607,-0.014435042309606815
gru,5,0.9204301075268816,0.8746543778801843,0.045775729646697294,0.9502670226969293,0.04973297730307066
gru,6,0.9408602150537636,0.9382488479262672,0.0026113671274964334,0.997224489795918,0.002775510204081923
gru,7,0.9559139784946236,0.8737327188940092,0.0821812596006144,0.9140286035674112,0.08597139643258875
gru,8,0.9559139784946236,0.9317972350230416,0.02411674347158199,0.9747710107665115,0.025228989233488475
gru,9,0.9387096774193548,0.9050691244239631,0.033640552995391704,0.9641629847815415,0.035837015218458515
mamba3,5,0.9440860215053763,0.9299539170506912,0.014132104454685157,0.9850309144158802,0.014969085584119813
mamba3,6,0.9,0.91889400921659,-0.018894009216590013,1.0209933435739889,-0.020993343573988903
mamba3,7,0.9311827956989248,0.9557603686635944,-0.02457757296466956,1.0263939293962387,-0.02639392939623867
mamba3,8,0.9397849462365592,0.91889400921659,0.020890937019969136,0.9777705132396209,0.022229486760379058
mamba3,9,0.9225806451612903,0.9096774193548388,0.012903225806451535,0.986013986013986,0.013986013986013901
