arsitektur,fold,terpilih,beku_s2,lr_tinggi,lr_rendah,dropout_rendah,dropout_tinggi,dangkal,dalam
gru,0,lr_rendah,0.8333333333333334,0.888888888888889,1.0,0.8611111111111112,0.888888888888889,0.9722222222222223,0.888888888888889
gru,1,lr_rendah,0.8333333333333334,0.7222222222222223,0.888888888888889,0.8333333333333334,0.8333333333333334,0.8055555555555556,0.7222222222222222
gru,2,dropout_tinggi,0.9444444444444445,0.9444444444444445,0.9166666666666666,0.9444444444444445,0.9722222222222223,0.9166666666666667,0.9166666666666667
gru,3,dropout_rendah,0.8333333333333334,0.8611111111111112,0.7777777777777778,0.888888888888889,0.888888888888889,0.8611111111111112,0.888888888888889
gru,4,lr_rendah,0.7777777777777778,0.7777777777777778,0.888888888888889,0.7777777777777778,0.8055555555555556,0.7777777777777778,0.7777777777777778
mamba2,0,dalam,0.7777777777777778,0.8055555555555556,0.8611111111111112,0.8055555555555556,0.8333333333333334,0.8055555555555556,0.9166666666666667
mamba2,1,dalam,0.6111111111111112,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.6944444444444445,0.6666666666666667,0.8055555555555556
mamba2,2,dangkal,0.7777777777777778,0.8055555555555556,0.888888888888889,0.8055555555555556,0.8333333333333334,1.0,0.888888888888889
mamba2,3,lr_tinggi,0.9444444444444444,1.0,0.888888888888889,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0
mamba2,4,dalam,0.9166666666666666,0.9444444444444444,0.888888888888889,0.9166666666666666,0.888888888888889,0.9444444444444444,1.0
mamba3,0,dangkal,0.6944444444444444,0.6666666666666667,0.7777777777777779,0.6666666666666667,0.7222222222222223,0.8333333333333334,0.8333333333333334
mamba3,1,dangkal,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6944444444444445,0.6944444444444445,0.7500000000000001,0.7500000000000001
mamba3,2,dangkal,0.888888888888889,0.888888888888889,0.7777777777777778,0.7777777777777778,0.7500000000000001,0.9444444444444444,0.6944444444444444
mamba3,3,dangkal,0.9444444444444444,0.9722222222222223,0.9722222222222223,0.9722222222222223,0.9166666666666666,1.0,0.9722222222222223
mamba3,4,beku_s2,1.0,0.9444444444444444,0.9444444444444445,1.0,1.0,0.9444444444444444,0.9444444444444444
