arsitektur,seed,auc,sensitivitas,spesifisitas,n_subjek
mamba2,0,0.9397849462365592,0.9838709677419355,0.7333333333333333,77
mamba2,1,0.9419354838709677,0.967741935483871,0.6,77
mamba2,2,0.9182795698924731,0.9354838709677419,0.6666666666666666,77
gru,0,0.9548387096774194,0.9354838709677419,0.5333333333333333,77
gru,1,0.9526881720430108,0.967741935483871,0.6666666666666666,77
gru,2,0.9655913978494624,0.967741935483871,0.7333333333333333,77
mamba3,0,0.9279569892473118,0.9838709677419355,0.6666666666666666,77
mamba3,1,0.8623655913978495,0.9354838709677419,0.4666666666666667,77
mamba3,2,0.9204301075268817,0.967741935483871,0.5333333333333333,77
mamba2,3,0.9161290322580644,0.9193548387096774,0.7333333333333333,77
mamba2,4,0.9387096774193548,0.9838709677419355,0.6666666666666666,77
gru,3,0.9763440860215055,0.967741935483871,0.8,77
gru,4,0.9419354838709677,0.9354838709677419,0.7333333333333333,77
mamba3,3,0.9344086021505376,0.967741935483871,0.5333333333333333,77
mamba3,4,0.9301075268817205,0.967741935483871,0.6,77
mamba2,5,0.9129032258064516,0.9354838709677419,0.6666666666666666,77
mamba2,6,0.964516129032258,0.967741935483871,0.6666666666666666,77
mamba2,7,0.924731182795699,0.9032258064516129,0.6,77
mamba2,8,0.9548387096774194,0.9354838709677419,0.7333333333333333,77
mamba2,9,0.9258064516129032,0.9193548387096774,0.6666666666666666,77
gru,5,0.9204301075268817,0.9516129032258065,0.6666666666666666,77
gru,6,0.9408602150537635,0.9516129032258065,0.7333333333333333,77
gru,7,0.9559139784946237,0.967741935483871,0.6666666666666666,77
gru,8,0.9559139784946237,0.9516129032258065,0.7333333333333333,77
gru,9,0.9387096774193548,0.9516129032258065,0.6666666666666666,77
mamba3,5,0.9440860215053763,0.967741935483871,0.5333333333333333,77
mamba3,6,0.9,0.967741935483871,0.5333333333333333,77
mamba3,7,0.9311827956989247,0.9838709677419355,0.6666666666666666,77
mamba3,8,0.9397849462365591,0.9354838709677419,0.6,77
mamba3,9,0.9225806451612903,0.9838709677419355,0.6,77
