arsitektur,latih,uji,auc,n_subjek,n_hc
mamba2,SST,SST,0.8469945355191257,76,15
mamba2,SST,DST,0.8713450292397661,72,15
mamba2,SST,STCP,0.34650455927051677,54,7
mamba2,DST,SST,0.7759562841530054,76,15
mamba2,DST,DST,0.8269005847953216,72,15
mamba2,DST,STCP,0.5349544072948328,54,7
mamba2,STCP,SST,0.43333333333333335,76,15
mamba2,STCP,DST,0.447953216374269,72,15
mamba2,STCP,STCP,1.0,54,7
gru,SST,SST,0.7999999999999999,76,15
gru,SST,DST,0.8292397660818713,72,15
gru,SST,STCP,0.36474164133738596,54,7
gru,DST,SST,0.7715846994535519,76,15
gru,DST,DST,0.8280701754385964,72,15
gru,DST,STCP,0.6534954407294833,54,7
gru,STCP,SST,0.4644808743169399,76,15
gru,STCP,DST,0.4573099415204678,72,15
gru,STCP,STCP,1.0,54,7
mamba3,SST,SST,0.6786885245901639,76,15
mamba3,SST,DST,0.7637426900584795,72,15
mamba3,SST,STCP,0.31610942249240126,54,7
mamba3,DST,SST,0.7420765027322405,76,15
mamba3,DST,DST,0.7099415204678363,72,15
mamba3,DST,STCP,0.8723404255319149,54,7
mamba3,STCP,SST,0.6174863387978141,76,15
mamba3,STCP,DST,0.49122807017543857,72,15
mamba3,STCP,STCP,0.9696048632218844,54,7
