arsitektur,seed,auc
mamba2,0,0.9419354838709678
gru,0,0.8737327188940092
mamba3,0,0.9096774193548387
mamba2,1,0.9327188940092166
mamba2,2,0.9235023041474654
gru,1,0.9032258064516129
gru,2,0.8433179723502304
mamba3,1,0.9456221198156682
mamba3,2,0.9391705069124424
mamba2,3,0.9327188940092166
mamba2,4,0.9566820276497696
gru,3,0.910599078341014
gru,4,0.904147465437788
mamba3,3,0.9078341013824885
mamba3,4,0.8976958525345622
mamba2,5,0.9013824884792626
mamba2,6,0.928110599078341
mamba2,7,0.919815668202765
mamba2,8,0.9308755760368663
mamba2,9,0.9391705069124423
gru,5,0.8746543778801843
gru,6,0.9382488479262673
gru,7,0.8737327188940092
gru,8,0.9317972350230415
gru,9,0.9050691244239631
mamba3,5,0.9299539170506913
mamba3,6,0.9188940092165899
mamba3,7,0.9557603686635945
mamba3,8,0.9188940092165899
mamba3,9,0.9096774193548387
